skill_level,skill_base,gradient,conversation_num,overall_score,critical_thinking,communication,emotional_intelligence,badge_level,skill_category
advanced_high,advanced,0.8,2,0,0,0,0,Bronze,Advanced
novice_basic,novice,0.0,2,0,0,0,0,Bronze,Novice
advanced_low,advanced,0.2,1,0,0,0,0,Bronze,Advanced
novice_low,novice,0.2,1,0,0,0,0,Bronze,Novice
intermediate_low,intermediate,0.2,1,0,0,0,0,Bronze,Intermediate
novice_basic,novice,0.0,3,0,0,0,0,Bronze,Novice
advanced_high,advanced,0.8,3,0,0,0,0,Bronze,Advanced
novice_high,novice,0.8,2,0,0,0,0,Bronze,Novice
novice_high,novice,0.8,3,0,0,0,0,Bronze,Novice
intermediate_high,intermediate,0.8,1,0,0,0,0,Bronze,Intermediate
advanced_basic,advanced,0.0,1,0,0,0,0,Bronze,Advanced
intermediate_basic,intermediate,0.0,1,0,0,0,0,Bronze,Intermediate
advanced_basic,advanced,0.0,2,0,0,0,0,Bronze,Advanced
intermediate_basic,intermediate,0.0,2,0,0,0,0,Bronze,Intermediate
intermediate_high,intermediate,0.8,2,0,0,0,0,Bronze,Intermediate
intermediate_high,intermediate,0.8,3,0,0,0,0,Bronze,Intermediate
novice_high,novice,0.8,1,0,0,0,0,Bronze,Novice
intermediate_basic,intermediate,0.0,3,0,0,0,0,Bronze,Intermediate
advanced_basic,advanced,0.0,3,0,0,0,0,Bronze,Advanced
advanced_low,advanced,0.2,2,0,0,0,0,Bronze,Advanced
novice_low,novice,0.2,2,0,0,0,0,Bronze,Novice
intermediate_low,intermediate,0.2,2,0,0,0,0,Bronze,Intermediate
novice_basic,novice,0.0,1,0,0,0,0,Bronze,Novice
intermediate_low,intermediate,0.2,3,0,0,0,0,Bronze,Intermediate
novice_low,novice,0.2,3,0,0,0,0,Bronze,Novice
advanced_low,advanced,0.2,3,0,0,0,0,Bronze,Advanced
advanced_high,advanced,0.8,1,0,0,0,0,Bronze,Advanced
